Name Of Hotel,City,Country,Rating,Amenities,Description,Reviews
ONSEN RYOKAN YUEN SHINJUKU,5-3-18,Japan, 9.0 ,"Non-smoking rooms, Free WiFi, Restaurant, 24-hour front desk, Hot spring bath, Laundry","Attractively situated in the Shinjuku Ward district of Tokyo, ONSEN RYOKAN YUEN SHINJUKU is situated 550 yards from Taiso-ji Temple, 550 yards from Saikoan Shrine and 650 yards from Takatsukisan Chozenji Temple. Among the facilities of this property are a restaurant, a 24-hour front desk and luggage storage space, along with free WiFi throughout the property. The property is close to popular attractions like Shinjuku Eastside Square, Hozen-ji Temple and Itsukushima Shrine Nukebenten.","“Simple, but very good restaurant on site with excellent tempura. Staff, both in the hotel and in the restaurant are extremely helpful; very pleasant when a traveller is alone. The outside bath on the top floor is exceptional, with spectacular views over Shinjuku and I especially loved the wonderful, understated decor in this hotel, with many of the features to be found in traditional, established (old) Japanese ryokan, but sleek modern lines, and great attention to detail. Can't recommend enough.”
“Very nice hotel with basic but comfortable onsen facilities.”
"
Onyado Nono Asakusa Natural Hot Spring,2-7-20,Japan, 9.1 ,"Non-smoking rooms, Free WiFi, Restaurant, 24-hour front desk, Facilities for disabled guests, Hot spring bath","Situated conveniently in the Taito district of Tokyo, Onyado Nono Asakusa Natural Hot Spring is set 350 yards from Edo Taito Traditional Crafts Center, 450 yards from Asakusa Public Hall and 550 yards from Asakusa ROX Shopping Center. Featuring a 24-hour front desk, this property also provides guests with a restaurant. The hotel offers a hot spring bath and luggage storage space.","“The price (maybe cheaper due to covid), the cleanliness, bed size, everything! Free water and fruit in the fridge! This is actually a dorMy hotel as well.”
“Absolutely beautiful hotel! Traditional Japanese style hotel with a modern twist. The on-site hot spring was one of the nicest I've visited in Japan.  If you ask for a room on a higher floor and on a certain side, you can have an amazing view of Tokyo Skytree and Sensoji Temple!”
"
Osaka Excel Hotel Tokyu,4-1-15,Japan, 9.0 ,"Non-smoking rooms, Free WiFi, Fitness centre, 24-hour front desk, Restaurant, Lift, Bar","Situated in Osaka, 200 yards from Namba Shrine, Osaka Excel Hotel Tokyu features accommodation with a restaurant, private parking, a fitness centre and a bar. Around 550 yards from TKP Shinsaibashi Ekimae Conference Center, the property is also only 50 yards away from Nanba Betsuin Temple and offers free WiFi. The accommodation offers a 24-hour front desk, luggage storage space and currency exchange for guests.","“It’s a new hotel, a bit confusing to find it at first, but not an issue. The room is roomy for Japanese standards, the bed is very comfy, it is close to shopping areas and Dotonbori. ”
“Hotel was super clean, staff were very friendly & helpful as well. Location is good, easy to move around. Highly recommended! ”
"
Hamacho Hotel Tokyo,Chuo-ku,Japan, 9.0 ,"Non-smoking rooms, Free WiFi, Family rooms, Restaurant, 24-hour front desk, Facilities for disabled guests, Bar","Featuring a bar, Hamacho Hotel Tokyo is set in Tokyo in the Tokyo-to region, 450 yards from Masago Monument and 650 yards from Site of Mutsu Munemitsu Residence. Featuring a restaurant, the 3-star hotel has air-conditioned rooms with free WiFi, each with a private bathroom. The accommodation offers a 24-hour front desk and luggage storage space for guests.","“Excellent location and great corner room (although the bed was harder than our stays at other hotels in Japan). Bathroom facilities the best we have seen in Japan.”
“Great rooms, friendly staff, good design and huge bathroom. ”
"
Kobe Meriken Park Oriental Hotel,5-6,Japan, 8.6 ,"Non-smoking rooms, Restaurant, 24-hour front desk, Facilities for disabled guests, Room service, Bar",Just a 3-minute walk from ,"“We took the ocean, high floor room, the view was awesome. The bed is really comfortable. We had room service on our first night cause we arrived late, and it was really good (and they have Kobe beef related dishes ;)).”
“Hotel view, area, location facilities, good size room with balcony which has table and two chairs”
"
APA Hotel & Resort Tokyo Bay Makuhari,,Japan, 8.2 ,"1 swimming pool, Non-smoking rooms, Parking, Airport shuttle, Restaurant, Bar",APA Hotel & Resort Tokyo Bay Makuhari is ,"“close the exhibition, breakfast is excellent Room is clean, there is convenience store in the hotel”
“Close to all shopping Outlet and the Aeon Mall!!! So Good for shopping and it has shuttle bus directly to airport as well
The three Bath Ozen are so great!!! ”
"
APA Hotel Hiroshima-Ekimae Ohashi,2-26,Japan, 8.2 ,"Non-smoking rooms, Free WiFi, Spa and wellness centre, Restaurant, 24-hour front desk, Lift","Boasting spacious public baths, APA Hotel Hiroshima-Ekimae Ohashi is located a 4-minute walk from ","“Excellent facilities, great bath, comfortable beds, excellent location”
“ใกล้สถานีรถไฟ รถบัส รถราง เช็คอิน เช็คเอ้าท์ด้วยตัวเอง”
"
Hotel Resol Kyoto Kawaramachi Sanjo,59-1,Japan, 9.0 ,"Non-smoking rooms, Free WiFi, Restaurant, 24-hour front desk, Laundry, Heating","Offering air-conditioned rooms in the Nakagyo Ward district of Kyoto, Hotel Resol Kyoto Kawaramachi Sanjo is 750 yards from Samurai Kembu Kyoto. Among the facilities of this property are a restaurant, a 24-hour front desk and a shared lounge, along with free WiFi throughout the property. The property is 1.6 miles from the city centre and 1.2 miles from Heian Shrine.","“It's located in the middle of main bars, restaurants and Kyoto attractions. Our room was very comfy with nice amenities and very good quality products. The lobby area has an excellent free coffee machine, there is also excellent of Zen books and amazing minimal decoration. I really love this hotel, it has very little details and minimalist style that make you feel that you are in a top luxury hotel, great bilingual staff/services and a small museum to learn more about this unique location. ”
“The location is awesome. Walking distance to train station, bus stop, shopping areas, the river, major attractions such as Gion, wooden bridge.We got a room on a high floor as requested. The design of the hotel is lovely.”
"
Hotel Felice Shinsaibashi By Relief,1-17-11,Japan, 8.9 ,"Non-smoking rooms, Free WiFi, 24-hour front desk, Facilities for disabled guests, Laundry, Lift, Bar","Set in Osaka, within 550 yards of Shinsaibashi Shopping Arcade and 650 yards of Mitsutera Temple, Hotel Felice Shinsaibashi By Relief features accommodation with a bar and free WiFi. A sauna and a bicycle rental service are available for guests. The accommodation offers a 24-hour front desk, a concierge service and currency exchange for guests.","“Great location with a cool rooftop bar. The staff were really friendly and helpful. Our room was comfortable with an extra bed for our son.”
“The location is very accessible from a Metro station and is just a few minutes walk from Dotonbori where there are lots of shops and restaurants. The facilities are well maintained and you have all you need in the room for a short stay: ref, pot for hot water, toothbrush, towels, unlimited free water bottles etc. The bed is comfortable and AC is well controlled. Wifi is fast and reliable.”
"
Kobe Luminous Hotel Sannomiya,92,Japan, 8.5 ,"Non-smoking rooms, Parking, Free WiFi, Family rooms, Restaurant, 24-hour front desk, Tea/coffee maker in all rooms","Well situated in the Chuo Ward district of Kobe, Kobe Luminous Hotel Sannnomiya is situated 15.5 miles from Mt. Rokko, 13.7 miles from Mount Maya and 0.9 miles from Kobe Port Tower. The 3-star hotel has air-conditioned rooms with a private bathroom and free WiFi. The property is non-smoking and is set 3.1 miles from Noevir Stadium Kobe.","“Amazing buffet breakfast, though I was the only person there !  I think that the coronavirus scare may have had something to go with that.  Considering the very nice spread, I felt a bit badly to be the only person there enjoying it, but hopefully there were other people who came after I left.Laundry facilities and microwave ovens available on the fifth floor.  Brilliant.”
“The room is very cozy...I love the lighting...Definitely will be back here.”
"
Nest Hotel Osaka Umeda,2-14,Japan, 8.4 ,"Non-smoking rooms, Free WiFi, Family rooms, 24-hour front desk, Facilities for disabled guests, Laundry","Nest Hotel Osaka Umeda features air-conditioned rooms with flat-screen TV in the Osaka Station, Umeda, Yodoyabashi, Hommachi district of Osaka. Among the facilities at this property are a 24-hour front desk and luggage storage space, along with free WiFi throughout the property. The hotel features family rooms.","“Great location in the city center, close to Umeda station. The price was great, and the rooms were small, but comfortable.The complimentary breakfast was nice, especially the coffee and the small muffins (if you could find one).Recommended and would go again :)”
“The hotel was clean and convenient.  The room was comfortable.  The bathroom well supplied.”
"
Residence Hotel Stripe Sapporo,,Japan, 7.6 ,"Non-smoking rooms, Free WiFi, 24-hour front desk","Located in Sapporo, near Hokkaido University, Former Hokkaidō Government Office and Sapporo Clock Tower, Residence Hotel Stripe Sapporo features free WiFi.","“My usual issues with staying in hotels are often the bed, but this hotel have a really comfortable bed and the room is very spacious in comparison to other city hotel rooms. 
”
“Friendly staff, good complex, close to everything ”
"
The Student Hotel Berlin,Berlin,Germany, 9.0 ,"Free WiFi, Family rooms, Non-smoking rooms, Fitness centre, Restaurant, Facilities for disabled guests, Bar","The Student Hotel Berlin features a restaurant, fitness centre, a bar and shared lounge in Berlin. Featuring family rooms, this property also provides guests with a sun terrace. The accommodation provides a 24-hour front desk, a concierge service and ticket service for guests.","“Welcoming staff, stylish hotel and fun room deco, close to S&U-bahns, fair price”
“Great hotel. Very comfortable clean room. Perfect location. Really enjoyable stay”
"
H4 Hotel Mönchengladbach im BORUSSIA-PARK,Mönchengladbach,Germany, 9.1 ,"Free WiFi, Pets allowed, Fitness centre, Non-smoking rooms, Facilities for disabled guests, Tea/coffee maker in all rooms, Bar","This hotel is situated directly at the BORUSSIA-PARK stadium in Mönchengladbach. Free WiFi, a fitness studio and a 24-hour reception are offered at H4 Hotel Mönchengladbach im BORUSSIA-PARK.","“Room styleBed comfortCar park Breakfast Sanitary rules after the Covid-19 well organised”
“This was my second stay at the hotel and I loved almost everything about it. Rooms are very spacious, bed is super comfort, outstanding quality of sleep. Breakfast is very rich and delicious, you will never regret it. The hotel is situated at the football stadium and especially if you're a fan, this will be quite an experience for you. And I mean positive! All in all it's pretty fine, I'd love stay here once again.”
"
Fraser Suites Hamburg,Hamburg,Germany, 9.2 ,"Free WiFi, Pets allowed, Family rooms, Non-smoking rooms, Fitness centre, Airport shuttle, Tea/coffee maker in all rooms, Bar","Fraser Suites Hamburg has a restaurant, fitness centre, a bar and shared lounge in Hamburg. This 5-star hotel offers a kids' club and a concierge service. The accommodation features a 24-hour front desk, airport transfers, room service and free WiFi throughout the property.","“The shower accessories like the soap smelled really nice
Really comfortable bed and shower”
“Very high quality room and a very responsive and helpful reception desk.”
"
Holiday Inn - Osnabrück,Osnabrück,Germany, 9.0 ,"Parking, Free WiFi, Pets allowed, Non-smoking rooms, Restaurant, Facilities for disabled guests, Tea/coffee maker in all rooms, Bar","Holiday Inn - Osnabrück has a restaurant, fitness centre, a bar and shared lounge in Osnabrück. Among the facilities at this property are a 24-hour front desk and room service, along with free WiFi throughout the property. The accommodation offers a concierge service and luggage storage space for guests.","“During these strange times the hotel and staff where amazing. Hotel exceptionally clean and sanitisers placed at strategic points”
“We arrive a little early but staff were very sweet and let us into our room anyway. Very spacious and clean.”
"
Jugend- und Familienhotel Augustin,Munich,Germany, 9.3 ,"Parking, Free WiFi, Family rooms, Non-smoking rooms, Restaurant, Facilities for disabled guests, Bar","Jugend- und Familienhotel Augustin features air-conditioned rooms in the Schwanthalerhöhe district of Munich. Among the facilities of this property are a restaurant, a 24-hour front desk and luggage storage space, along with free WiFi. Guests can have a drink at the bar.","“Beautiful outdoor space- lawn to hang out, have a beer and relax.”
“Amazing style, exciting bedrooms with bunk beds which our kids loved and yet they were still super comfortable”
"
Henri Hotel Düsseldorf Downtown,Düsseldorf,Germany, 9.1 ,"Parking, Free WiFi, Spa and wellness centre, Pets allowed, Non-smoking rooms, Fitness centre, Tea/coffee maker in all rooms, Bar","This hotel in the Pempelfort district of Düsseldorf offers convenient connections to the Old Town district and the main train station. Henri residents can enjoy home cooking and a lounge 24/7, while there is also an on-site spa and gym.","“Very nice and cozy hotel! Perfect location, close to UBahn and SBahn stations, 10 min by foot to the shopping malls.  The spacious room is equiped with design furniture, different options of lighting, very warm. It is enough quite in spite of street view and possible noise. AC is good.”
“Awesome new hotel with friendly staff and cool rooms. Located right next to train and metro. ”
"
Augsburg Hotel Sonnenhof,Gersthofen,Germany, 9.0 ,"Free WiFi, Family rooms, Bar","Augsburg Hotel Sonnenhof has a restaurant, free bikes, a fitness centre and bar in Gersthofen. This 3-star hotel offers a 24-hour front desk and a concierge service. There is a terrace and guests can make use of free WiFi and free private parking.","“Modern, cozy with friendly staff. Good ratio value to price! Recommended.”
“Stylish and new - our room was very clean and comfortable. It’s the perfect layover to rest on a road trip. The room was large and the shower was fantastic. Despite being near the highway, the rooms were quiet! There were built-in electric blinds to make the room go fully dark at night! The staff was lovely and accommodating - they helped us print important documents before leaving and were delightful while serving breakfast! 
”
"
Bruderherz,Nürnberg,Germany, 9.0 ,"Parking, Free WiFi, Pets allowed, Non-smoking rooms, Restaurant, Facilities for disabled guests, Bar","Featuring a terrace and shared lounge, Bruderherz is set in Nürnberg, 1.9 miles from Meistersingerhalle Congress & Event Hall. The property is located in Old Town Nuremberg and its distance to Nuremberg Christmas Market is within 0.6 miles. The property is 3.7 miles from Max-Morlock-Stadion.","“Big comfy beds! Great location in the old town and just a few minutes walk from the train station. Lovely shower. ”
“Amazingly quiet location. Great rooms with excellent pillows. Nothing to complain about! Frok check in to check out the staff were amazing. 
Had dinner and breakfast at the restaurant and had no regrets. Wonderful service. 
Sad that we could only stay one night here. Could have happily spent a few days here.”
"
Hotel Indigo Berlin - East Side Gallery,Berlin,Germany, 9.3 ,"Free WiFi, Pets allowed, Non-smoking rooms, Fitness centre, Restaurant, Facilities for disabled guests, Tea/coffee maker in all rooms, Bar","This stylish hotel lies between the Mercedes-Benz Arena and the East Side Gallery, the remaining iconic section of the Berlin Wall. It offers free WiFi, business services and a rooftop bar with stunning city views.","“The staff were amazingly professional & welcoming. They were very attentive to the clients and ready to help.
Rooms are very stylish and comfortable. (Particular mention of the very comfortable mattress 😀)”
“Great Location next to the river and also close to many bars and restaurant, 5-10min walk. The roof top bar gives a great view of the east side gallery and train & bus stop very close for getting around the city.”
"
the niu Fury,Aschheim,Germany, 9.0 ,"Free WiFi, Bar",The niu Fury offers air-conditioned rooms in Aschheim. All rooms feature a flat-screen TV with satellite channels and a private bathroom. Free WiFi is available and private parking can be arranged at an extra charge.,"“Clean, comfortable beds, room space, entertainment ”
“Sehr modern und sauber. Abschliessbare Tiefgarage, wir hatten Fahrräder dabei!”
"
Park Inn by Radisson Berlin Alexanderplatz,Berlin,Germany, 7.9 ,"Free WiFi, Spa and wellness centre, Pets allowed, Non-smoking rooms, Fitness centre, Restaurant, Bar",This 4-star-superior hotel offers 3 ,"“the lady at the reception helpt us with two rooms to each other and advized us to take the room at the 35th floor. it was spectaculair and a real extra to our trip to Berlin.”
“Nice deal and place for a short pit stop. It’s in a downtown so basically everything you have accessible. Good choice 👍🏻 …and we were with a dog. ”
"
H2 Hotel Berlin-Alexanderplatz,Berlin,Germany, 8.5 ,"Free WiFi, Family rooms, Pets allowed, Non-smoking rooms, Restaurant, Facilities for disabled guests",This ,"“Excellent location, due to the virus not too many people but still worthwhile.”
“Everything was perfect, thank you very much for the wonderful accommodation!!!”
"
Leonardo Hotel Berlin Mitte,Berlin,Germany, 8.4 ,"Free WiFi, Pets allowed, Non-smoking rooms, Fitness centre, Restaurant, Facilities for disabled guests, Bar",This brand ,"“I stayed here with my mom and everything was perfect. We only had one issue with the air conditioning but the manager reacted immediately. The price was great for what we got. The coronavirus management was amazing as well. The location is the best we could imagine. Overall i really recommend this hotel! Everything was at its highest standard. We will come back again ❤️”
“Location was excellent.
Staff were very helpful.
Covid19 related precautions were very well implemented.”
"
Riu Plaza Berlin,Berlin,Germany, 8.6 ,"Free WiFi, Family rooms, Non-smoking rooms, 
good fitness centre
, Free parking, Restaurant, Tea/coffee maker in all rooms, Bar",This hotel is set in a ,"“The clean room, the friendly personell and their professionality. The safe and clean locations during corona times and the location near the Kurfürstendamm Berlin. Every thing was perfect. We will see us again soon.”
“Very clean, check-in took a while but probably due to Corona. Rain shower was amazing, view from our room on the 15th floor”
"
Super 8 Freiburg,Breisgau,Germany, 8.0 ,"Pets allowed, Free WiFi, Family rooms, Non-smoking rooms, Facilities for disabled guests, 24-hour front desk, Bar",Super 8 Freiburg offers accommodation in Freiburg im Breisgau. Free WiFi is available throughout the property.,"“Freundliches Personal, tolles Frühstück, Zimmer waren sauber und ruhig”
“Easy reachable location. Friendly and competent staff. No too far from the center. ”
"
Hampton by Hilton Berlin City Centre Alexanderplatz,Berlin,Germany, 8.6 ,"Free WiFi, Family rooms, Non-smoking rooms, 
good fitness centre
, Facilities for disabled guests, 24-hour front desk, Tea/coffee maker in all rooms, Bar","This hotel is situated in the heart of Berlin, just a 5-minute walk from ","“This hotel is at a great location that is only a short walk to the tram or train. The room was clean, small, but comfortable. The free breakfast buffet was very appreciated and well organized.”
“The property is super clean and beautifully designed. The rooms are super modern en there was enough room for me and my partner. Everything we needed was present. Room service was great. Every morning after breakfast there where new towels and a maid up bed ready for us. Everyone was super nice. We felt really safe even tho we had to deal with the Corona virus. It really felt like a vacation.”
"
H2 Hotel München Olympiapark,Munich,Germany, 8.6 ,"Free WiFi, Family rooms, Pets allowed, Non-smoking rooms, Restaurant, Facilities for disabled guests, Bar","Located in Munich, 1.1 miles from BMW Welt, H2 Hotel München Olympiapark offers rooms with air conditioning and free WiFi. Located around 1.1 miles from BMW Museum, the hotel is also 1.6 miles away from Olympiapark. The property is situated in the Milbertshofen - Am Hart district.","“The hotel was nice, right by the metro station (literally outside). Breakfast is included and is up to standard. Good quality for the money paid :)”
“The hotel was very clean and a couple of sky sports channels for free was a bonus. The hotel is towards the edge of the city, but an underground station is directly in front of the hotel. Bicycle parking was good and this allowed us great access to the Olympiapark nearby. ”
"
Bento Inn Munich,Munich,Germany, 8.4 ,"Free WiFi, Family rooms, Pets allowed, Non-smoking rooms, Airport shuttle, Fitness centre, Bar","Set in Munich and with ICM-Internationales Congress Center Munich reachable within 2.7 km, Bento Inn Munich offers express check-in and check-out, allergy-free rooms, a bar, free WiFi throughout the property and a shared lounge. Boasting family rooms, this property also provides guests with a terrace. The accommodation provides a 24-hour front desk, a shared kitchen and luggage storage for guests.","“Modern, clean, nice new furniture, spacious rooms, convenient location, large parking lot (5 euros extra)”
“Very clean, kitchen services, warm receptionists, small shop available to buy basic and necessary things. ”
"
Edgbaston Park Hotel Birmingham,Unite,Kingdom, 9.1 ,"Free WiFi, Pets allowed, Free parking, Restaurant, Non-smoking rooms, Facilities for disabled guests, Bar","Located in Birmingham, 350 yards from Winterbourne House and Garden, Edgbaston Park Hotel Birmingham provides accommodation with a restaurant, free private parking, a bar and a garden. Among the facilities at this property are a 24-hour front desk and room service, along with free WiFi throughout the property. The accommodation features a concierge service, ticket service and luggage storage for guests.","“Very smart and clean hotel, friendly staff and (would be) good facilities. We had a problem with our booking for breakfast and there seemed to be bit of a miscommunication with the staff onsite, but everyone we spoke to tried to help and eventually reservations team were fantastically helpful in resolving it.”
“The staff were friendly and engaging,The room was clean.The hotel is part of the University of Birmingham and the grounds are beautiful.Free parking.Excellent location. Near the Queen Elizabeth hospital and Winterbourne Gardens.”
"
Hampton By Hilton Stockton On Tees,Unite,Kingdom, 9.1 ,"Free WiFi, 
very good fitness centre
, Tea/coffee maker in all rooms, Bar","The Hampton by Hilton Stockton on Tees is based in the heart of Northshore, opposite Teesdale Business Area. Enjoy easy access to major roads: The North A19 and A1, the South A1 and A19 and West to Darlington A66 as well as the Tees Valley area to the east.","“Value for money still as good as last time in terms of the accommodation. Staff very friendly and helpful as always.”
“Nice hotel, good location and large well appointed rooms.”
"
Staybridge Suites London Heathrow - Bath Road,Unite,Kingdom, 9.4 ,"Free WiFi, Airport shuttle (free), Pets allowed, 
fabulous fitness centre
, Family rooms, Non-smoking rooms, Tea/coffee maker in all rooms, Bar","Staybridge Suites London Heathrow - Bath Road provides air-conditioned accommodation in West Drayton. All rooms boast a kitchenette, a flat-screen TV with satellite channels, and a private bathroom. Free WiFi is at guests' disposal.","“Superb room, comfortable bed, excellent shower, blackout curtains, great value for miney”
“Great staff, lovely smart, clean, and comfortable hotel, much appreciated in these covid wary times, we felt very safe. We would recommend a stay here.”
"
"Holiday Inn Express Bridgwater M5, Jct24",Unite,Kingdom, 9.3 ,"Free WiFi, Family rooms, Restaurant, Tea/coffee maker in all rooms, Bar","Holiday Inn Express Bridgwater M5, Jct24 in Bridgwater provides accommodation with a restaurant, a bar and a shared lounge. The accommodation offers a 24-hour front desk and luggage storage space for guests.","“The breakfast was good considering the circumstances”
“Even because of the virus restrictions everything worked really well.”
"
Dakota Manchester,Unite,Kingdom, 9.6 ,"Parking, Free WiFi, Non-smoking rooms, Restaurant, Facilities for disabled guests, Room service, Tea/coffee maker in all rooms, Bar","Located in the Manchester City Centre, Dakota Manchester is a 5-minute walk to Market Street and a 10-minute walk to the Spinningfields. Easily accessible, Dakota Manchester is just a 3-minute walk from Piccadilly train station and a 30-minute train or drive from Manchester Airport.","“Amazing hotel, great location Valet parking was a lovely added touch, and the man doing this was especially lovely and polite”
“Luxurious hotel, feels so elegant the moment you enter the reception. Rooms tastefully designed and very comfortable. Restaurant food was amazing.”
"
Courtyard by Marriott Luton Airport,Unite,Kingdom, 9.0 ,"Airport shuttle, Free WiFi, 
good fitness centre
, Restaurant, Family rooms, Facilities for disabled guests, Tea/coffee maker in all rooms, Bar","Located less than 550 yards from the London Luton Airport passenger terminal, Courtyard by Marriott Luton Airport is offers contemporary accommodation in Luton. The property features a fitness centre and free high-speed WiFi.","“Fresh, clean and quiet. Good facilities and TV offerings. Stay went well and the check in was fast and easy.”
“Did not have breakfast.Room clean and spacious.Easy access”
"
Holiday Inn Express - Exeter - City Centre,Unite,Kingdom, 8.9 ,"Parking, Free WiFi, Family rooms, Restaurant, Non-smoking rooms, 24-hour front desk, Tea/coffee maker in all rooms, Bar","Situated in Exeter, 3.7 miles from Sandy Park Rugby Stadium, Holiday Inn Express - Exeter - City Centre features accommodation with a bar and private parking. Featuring a restaurant, the 3-star hotel has air-conditioned rooms with free WiFi, each with a private bathroom. The hotel has family rooms.","“Nice and clean rooms, comfy bed, nice staff, good location, everything what needed. ”
“The breakfast was great;Parking on site was a bonus but quite costly;Overall thou a very comfortable stay.”
"
Hotel Indigo Manchester - Victoria Station,Unite,Kingdom, 9.4 ,"Free WiFi, 
fabulous fitness centre
, Non-smoking rooms, Restaurant, Facilities for disabled guests, Room service, Bar","Situated next to Manchester Victoria station, Hotel Indigo Manchester - Victoria Station Station offers accommodation in Manchester. Located 0.9 miles from Manchester Arena, the property is also 1.5 miles from Manchester Central and 1.6 miles from Canal Street.","“Great location. Helpful friendly staff. Comfy beds”
“Me and my partner booked this hotel as a last resort as we were struggling to find some where nice at a decent price. We wasn’t expecting much as the pictures online really do not show the rooms to the best potential. 
We was blown away by the modern, clean but comfortable room we were greeted with and the extra special touch with it being my birthday! 
Our favourite feature was the speaker in the bathroom that connected to the TV so you could listen to your music while showering - absolutely genius. Also the air con was brilliant which I appreciated a lot. 
Highly recommend this hotel. ”
"
Clayton Hotel City of London,Unite,Kingdom, 9.0 ,"Free WiFi, Family rooms, Non-smoking rooms, 
very good fitness centre
, Restaurant, Facilities for disabled guests, Bar","Clayton Hotel City of London is ideally located for the city’s Financial District with a 10-minute walk from Liverpool Street Station and close to some of London’s Iconic landmarks such as The Gherkin, Tower Bridge, Old Spitalfields Market and Brick Lane. Enjoy convenient transport links to main London venues such as ExCel, The O2 Arena or Olympic Park.","“Great loaction, very trendy and modern hotel. Paticia the mamager at desk is a darling!”
“Very nice hotel, comfortable rooms with good aircon, nice and cozy bed. Receptionist was very friendly and welcoming. Location is fairly central and in an area with lots of good restaurants and pubs.”
"
ibis Styles Glasgow Centre West,Unite,Kingdom, 9.3 ,"Free WiFi, Family rooms, Non-smoking rooms, Facilities for disabled guests, Restaurant, 24-hour front desk, Bar","Featuring a restaurant, a bar as well as a shared lounge, ibis Styles Glasgow Centre West is set in the centre of Glasgow, 0.7 miles from Buchanan Galleries. The property is located 0.7 miles from The Glasgow Royal Concert Hall, 0.7 miles from George Square and 1.2 miles from Sauchiehall Street. The accommodation offers a 24-hour front desk, and luggage storage for guests.","“A comfy, spacious room with a great shower. We loved the themed decor and the general brightness of the building too. We would definitely recommend the breakfast buffet - there was a good variety of food on offer and the staff made an extra effort to maintain cleanliness due to the current conditions. Very well located for town and a good value for money indeed.”
“air con was a great bonus 🤩 being able to stream amazon prime to the tv was amazing! The little things in life! Breakfast was lovely. Room was immaculate room. Defo stay again”
"
Grand Hotel Blackpool,Unite,Kingdom, 6.9 ,"1 swimming pool, Parking, Family rooms, Free WiFi, Facilities for disabled guests, Tea/coffee maker in all rooms, Bar","Set on Blackpool's promenade, 1 miles from Blackpool Tower, The Grand Hotel Blackpool * 4 has an indoor pool and modern gym.",
Leonardo Royal Edinburgh Haymarket,Unite,Kingdom, 8.1 ,"Parking, Free WiFi, Family rooms, Non-smoking rooms, Restaurant, Facilities for disabled guests, Bar",In ,"“Location was good, parking available at a reasonable price, very friendly staff and room was clean and spacious. ”
“Close enough to the centre but far enough away from all the chaos of a busy city centre”
"
Royal Bath Hotel & Spa Bournemouth,Unite,Kingdom, 6.4 ,"Parking, Pets allowed, Spa and wellness centre, Free WiFi, Restaurant, Fitness centre, Tea/coffee maker in all rooms, Bar","Opened on Queen Victoria's coronation day in June 1838, the Royal Bath Hotel & Spa Bournemouth was the first hotel in Bournemouth.  It offers 3 hotel restaurants, a ",
The Royal Albion Seafront Hotel,Unite,Kingdom, 6.4 ,"Pets allowed, Free WiFi, Family rooms, Beachfront, Non-smoking rooms, Restaurant, Bar","Built in 1826, this seaside hotel is ",
Norbreck Castle Hotel & Spa,Unite,Kingdom, 5.7 ,"Family rooms, WiFi, Beachfront, Facilities for disabled guests, Restaurant, Non-smoking rooms, Bar",With ,
Park Plaza Westminster Bridge London,Unite,Kingdom, 8.6 ,"1 swimming pool, Free WiFi, Family rooms, Spa and wellness centre, Non-smoking rooms, Bar","Located on the South Bank of the Thames, Park Plaza Westminster Bridge London is set opposite the Houses of Parliament and Big Ben, on the South Bank. It is less than a 5-minute walk from the London Eye, the Aquarium, restaurants and theatres.","“Location is great, next to the Waterloo station and surrounded by places to eat out. Bed is super comfy and we liked the fact it has shower and separate bathtub in the ensuite.”
“The team is doing a great job keeping everyone safe during the pandemic, I loved the view and the room”
"
Jurys Inn Belfast,Unite,Kingdom, 8.8 ,"Free WiFi, Non-smoking rooms, Restaurant, Facilities for disabled guests, Room service, 24-hour front desk, Bar",This ,"“Love my staycation here in jurys in the centre of the city great location everything u need in a few mins of walking, room was great very comforable and clean staff were lovely”
“The location and value for money at this property was very good”
"
The Grand Burstin Hotel,Unite,Kingdom, 6.6 ,"1 swimming pool, Pets allowed, Parking, Free WiFi, Family rooms, Restaurant, Bar","Overlooking Folkestone Harbour, The Grand Burstin Hotel offers limited parking, free Wi-Fi and ",
"Country Inn & Suites by Radisson, Page, AZ",Unite,States, 9.0 ,"1 swimming pool, Free parking, Free WiFi, Family rooms, Non-smoking rooms, 
good fitness centre
, Bar","Located in Page, 8.1 miles from Lake Powell, Country Inn & Suites by Radisson, Page, AZ provides accommodation with a fitness centre, free private parking, a bar and a shared lounge. The hotel features an indoor pool and a 24-hour front desk and free WiFi throughout the property.","“Really friendly staff, we received an upgrade as there were rooms available and they were very helpful. The location is very convenient, the room was great and very clean.”
“Lovely inside, nice decor, room (suite) was beautifully presented. Nearby supermarket, gas stations etc. Hotel have us a breakfast bag each in lieu of proper breakfast because of ""virus"". ”
"
Concorde Hotel New York,Unite,States, 9.0 ,"Free WiFi, Non-smoking rooms, 
good fitness centre
, Facilities for disabled guests, 24-hour front desk, Terrace","Featuring a fitness centre and free WiFi, Concorde Hotel New York is situated in New York, 800 yards from Museum of Modern Art and St Patrick's Cathedral. This property is set a short distance from attractions such as Rockefeller Center, Top of the Rock, and Radio City Music Hall.","“All of my request were met and exceptional serviceThe room was spacious and had a very beautiful view”
“View (34th floor) , location was perfect, equipments (bathroom products, coffee) , staff was very nice”
"
